sku_id,sku_name,category,shelf_life_days,unit_price,is_short_shelf,supplier
SKU0001,泡面桶装,速食饮料,180,6.5,0,供应商2
SKU0002,瓶装可乐,速食饮料,270,3.5,0,供应商3
SKU0003,瓶装矿泉水,速食饮料,365,2.0,0,供应商4
SKU0004,功能饮料,速食饮料,300,6.0,0,供应商5
SKU0005,热饮奶茶粉,速食饮料,180,8.0,0,供应商1
SKU0006,卫生纸卷,日用百货,1095,15.0,0,供应商2
SKU0007,洗衣液袋装,日用百货,540,12.0,0,供应商3
SKU0008,牙刷,日用百货,730,8.0,0,供应商4
SKU0009,洗发水袋装,日用百货,365,5.0,0,供应商5
SKU0010,香皂,日用百货,1095,4.5,0,供应商1
SKU0011,鲜牛奶950ml,冷藏鲜奶,7,16.8,1,供应商2
SKU0012,酸奶杯装,冷藏鲜奶,10,6.5,1,供应商3
SKU0013,巴氏鲜奶250ml,冷藏鲜奶,5,5.0,1,供应商4
SKU0014,风味酸奶,冷藏鲜奶,12,7.0,1,供应商5
SKU0015,薯片大包,零食,180,9.9,0,供应商1
SKU0016,巧克力,零食,365,12.0,0,供应商2
SKU0017,坚果混合,零食,240,19.9,0,供应商3
SKU0018,饼干盒装,零食,270,8.5,0,供应商4
SKU0019,果冻,零食,365,3.0,0,供应商5
